"","x"
"1",-1.78204118128633e-11
"2",10.3088816778426
"3",22.1101981212276
"4",17.5159653915965
"5",19.0487690351374
"6",2.57585793504472
"7",9.44913405244466
"8",7.58142017472741
"9",-2.40163444686914e-11
"10",-1.80477854883065e-11
"11",4.45781113525689
"12",-1.37845290737459e-11
"13",-6.56541487842333e-12
"14",7.38523376942268
"15",-2.81090706266696e-11
"16",4.46937263838836
"17",15.3143728516079
"18",-1.0061285138363e-11
"19",8.49472628202673
"20",0.502411758140937
"21",-2.77395884040743e-11
"22",1.79625719596814
"23",22.0324562554934
"24",-1.19086962513393e-11
"25",8.90936894103416
"26",2.05476908793034
"27",-1.65982783073559e-11
"28",4.31396433739724
"29",14.6298618094416
"30",-2.16857642953983e-11
"31",16.9772149840093
"32",4.00684181424651
"33",-1.37845290737459e-11
"34",16.5668823360825
"35",19.16375717558
"36",-1.3017142919125e-11
"37",7.22378593500562
